"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2000","0.93","0.90","0.94","0.89","726.70M","-7.92%"
"09/21/2000","1.01","1.04","1.06","0.99","510.49M","-7.34%"
"09/20/2000","1.09","1.06","1.10","1.05","227.39M","1.87%"
"09/19/2000","1.07","1.07","1.08","1.05","272.08M","-0.93%"
"09/18/2000","1.08","0.99","1.08","0.98","424.54M","9.09%"
"09/15/2000","0.99","1.03","1.04","0.97","394.51M","-2.94%"
"09/14/2000","1.02","1.05","1.06","1.01","426.55M","-1.92%"
"09/13/2000","1.04","1.01","1.06","1.01","305.98M","0.97%"
"09/12/2000","1.03","1.02","1.07","1.02","188.00M","-0.96%"
"09/11/2000","1.04","1.05","1.08","1.04","187.38M","-0.95%"
"09/08/2000","1.05","1.10","1.10","1.04","195.52M","-5.41%"
"09/07/2000","1.11","1.06","1.12","1.04","217.47M","6.73%"
"09/06/2000","1.04","1.10","1.11","1.03","355.40M","-6.31%"
"09/05/2000","1.11","1.12","1.15","1.11","298.64M","-1.77%"
"09/01/2000","1.13","1.09","1.14","1.09","256.87M","3.67%"
"08/31/2000","1.09","1.05","1.10","1.05","419.60M","2.83%"
"08/30/2000","1.06","1.05","1.07","1.05","285.39M","0.00%"
"08/29/2000","1.06","1.03","1.06","1.03","267.03M","1.92%"
"08/28/2000","1.04","1.02","1.05","1.02","359.01M","2.97%"
"08/25/2000","1.01","1.01","1.03","1.01","334.46M","1.00%"
"08/24/2000","1.00","0.98","1.01","0.95","310.77M","3.09%"
"08/23/2000","0.97","0.92","0.98","0.91","236.86M","5.43%"
"08/22/2000","0.92","0.90","0.94","0.90","276.80M","2.22%"
"08/21/2000","0.90","0.90","0.92","0.89","134.47M","1.12%"
"08/18/2000","0.89","0.92","0.93","0.89","190.18M","-3.26%"
"08/17/2000","0.92","0.86","0.94","0.86","270.90M","5.75%"
"08/16/2000","0.87","0.84","0.87","0.84","143.67M","4.82%"
"08/15/2000","0.83","0.84","0.86","0.83","114.20M","-1.19%"
"08/14/2000","0.84","0.85","0.85","0.83","156.66M","-1.18%"
"08/11/2000","0.85","0.84","0.86","0.81","238.06M","0.00%"
"08/10/2000","0.85","0.86","0.86","0.85","251.71M","0.00%"
"08/09/2000","0.85","0.86","0.86","0.84","379.64M","2.41%"
"08/08/2000","0.83","0.86","0.86","0.83","176.67M","-3.49%"
"08/07/2000","0.86","0.85","0.88","0.84","187.35M","1.18%"
"08/04/2000","0.85","0.88","0.92","0.83","263.12M","-1.16%"
"08/03/2000","0.86","0.81","0.86","0.79","339.90M","2.38%"
"08/02/2000","0.84","0.87","0.89","0.84","162.36M","-4.55%"
"08/01/2000","0.88","0.90","0.91","0.88","137.28M","-3.30%"
"07/31/2000","0.91","0.88","0.92","0.87","155.30M","5.81%"
"07/28/2000","0.86","0.93","0.94","0.84","237.96M","-7.53%"
"07/27/2000","0.93","0.89","0.95","0.89","294.99M","4.49%"
"07/26/2000","0.89","0.89","0.92","0.88","210.47M","0.00%"
"07/25/2000","0.89","0.90","0.90","0.88","211.61M","2.30%"
"07/24/2000","0.87","0.94","0.94","0.85","412.17M","-9.37%"
"07/21/2000","0.96","0.97","0.99","0.95","196.24M","-2.04%"
"07/20/2000","0.98","0.98","1.02","0.97","465.57M","4.26%"
"07/19/2000","0.94","0.99","1.01","0.92","457.87M","-7.84%"
"07/18/2000","1.02","1.04","1.05","1.02","318.41M","-1.92%"
"07/17/2000","1.04","1.04","1.05","1.02","260.00M","0.97%"
"07/14/2000","1.03","1.02","1.05","1.02","190.28M","1.98%"
"07/13/2000","1.01","1.04","1.08","0.98","445.66M","-3.81%"
"07/12/2000","1.05","1.04","1.05","1.01","225.43M","2.94%"
"07/11/2000","1.02","1.02","1.06","0.99","357.90M","0.00%"
"07/10/2000","1.02","0.97","1.04","0.96","397.80M","5.15%"
"07/07/2000","0.97","0.94","0.98","0.93","263.60M","4.30%"
"07/06/2000","0.93","0.94","0.95","0.89","309.55M","1.09%"
"07/05/2000","0.92","0.95","0.99","0.91","265.22M","-3.16%"
"07/03/2000","0.95","0.93","0.97","0.93","70.77M","1.06%"
"06/30/2000","0.94","0.94","0.98","0.92","323.10M","2.17%"
"06/29/2000","0.92","0.95","0.96","0.91","203.66M","-5.15%"
"06/28/2000","0.97","0.95","0.99","0.92","286.43M","5.43%"
"06/27/2000","0.92","0.96","0.99","0.92","203.47M","-5.15%"
"06/26/2000","0.97","0.94","0.98","0.93","185.35M","5.43%"
"06/23/2000","0.92","0.96","0.98","0.91","204.97M","-4.17%"
"06/22/2000","0.96","1.00","1.03","0.96","467.71M","-3.03%"
"06/21/2000","0.99","0.90","1.02","0.90","490.02M","10.00%"
"06/20/2000","0.90","0.88","0.93","0.88","501.39M","4.65%"
"06/19/2000","0.86","0.81","0.87","0.80","394.01M","6.17%"
"06/16/2000","0.81","0.83","0.84","0.80","303.57M","-1.22%"
"06/15/2000","0.82","0.81","0.83","0.79","248.57M","1.23%"
"06/14/2000","0.81","0.85","0.86","0.80","277.45M","-3.57%"
"06/13/2000","0.84","0.81","0.85","0.79","351.46M","3.70%"
"06/12/2000","0.81","0.86","0.86","0.81","290.34M","-4.71%"
"06/09/2000","0.85","0.86","0.87","0.84","252.36M","0.00%"
